"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Dcx","Excitatory neurons",1786,2414,0.404756411063394,0.624656105800257,0.52885029679271,0.622160214455661,0.0125138811261175,0.0126629124076065,0.219899694736862,2581851.5,2.30916718099109e-31,1.10840024687572e-29,"***"
"Slc1a2","Excitatory neurons",1786,2414,0.929490457996759,1.14672737013466,0.896025536955348,0.891465470895946,0.0212021381540792,0.0181441193282306,0.217236912137899,2458241,2.74334525448853e-15,4.54363957724639e-14,"***"
"Rbfox3","Excitatory neurons",1786,2414,1.4607240868385,1.59812379339141,0.663550620054704,0.665181823251863,0.0157012175863084,0.0135385371279967,0.137399706552916,2454378.5,1.47627056826483e-14,1.7715246819178e-13,"***"
"Dlg4","Excitatory neurons",1786,2414,0.579134066906346,0.449329009164642,0.528293191974602,0.492974688437249,0.0125006986744655,0.0100335816302713,-0.129805057741704,1862186,2.83977473577899e-15,4.54363957724639e-14,"***"
"Map2","Excitatory neurons",1786,2414,1.8839755688865,1.80412683708579,0.562643312174331,0.597109069310646,0.0133135058591341,0.0121530430053029,-0.0798487318007053,1986448.5,1.3208293366877e-05,0.00012679961632202,"***"
"Camk2a","Excitatory neurons",1786,2414,1.79283237779606,1.86442167453546,0.704061665736561,0.685874833657189,0.0166598072156079,0.0139597048145894,0.071589296739405,2282918,0.00105739084280098,0.00634434505680586,"**"
"Syn1","Excitatory neurons",1786,2414,0.692655806806664,0.748936264530837,0.568626830008497,0.585439608820758,0.0134550904083853,0.0119155328711058,0.0562804577241732,2274079.5,0.00197273712699436,0.0105212646773032,"*"
"Slc1a3","Excitatory neurons",1786,2414,0.0530089902438418,0.0902246086406916,0.248850473372986,0.326716629147774,0.00588840596451099,0.00664970848485774,0.0372156183968497,2222541,0.00018008495893694,0.00144067967149552,"**"
"Tubb3","Excitatory neurons",1786,2414,0.253642685900427,0.217047298153634,0.398124782123543,0.380116118916699,0.00942059828096916,0.00773655564390727,-0.0365953877467926,2048012,0.000639417784340852,0.00438457909262299,"**"
"Stat3","Excitatory neurons",1786,2414,0.215341303930895,0.186534163092377,0.382245739251188,0.360038186267675,0.00904486160065288,0.00732790671947732,-0.0288071408385181,2072477.5,0.00515541772294144,0.0247460050701189,"*"
"App","Excitatory neurons",1786,2414,1.81895089762944,1.79427038116366,0.557236284799101,0.569638059539183,0.0131855624728306,0.0115939217654646,-0.0246805164657755,2106593,0.206200079922824,0.41369881346817,"ns"
"Egr1","Excitatory neurons",1786,2414,0.163422670242591,0.14201734673367,0.388536929199223,0.348264028347262,0.0091937264185966,0.00708826566407817,-0.0214053235089212,2118667,0.145419694836693,0.345442261773032,"ns"
"Bace1","Excitatory neurons",1786,2414,0.155683592183785,0.141120218135662,0.312476444110691,0.308036421524845,0.00739395080238703,0.00626950765010651,-0.0145633740481228,2099799,0.0410775185423532,0.164310074169413,"ns"
"P2ry12","Excitatory neurons",1786,2414,0.0351388428569097,0.0459625410131899,0.160939212137128,0.184443581385032,0.00380821223213652,0.00375400557759444,0.0108236981562802,2182232.5,0.0939809168319237,0.322220286280881,"ns"
"Apoe","Excitatory neurons",1786,2414,0.0377853794468876,0.0481754520525637,0.184870487429579,0.201071286830468,0.00437448426795141,0.00409243155325612,0.0103900726056761,2184979.5,0.066612866290662,0.245955198611675,"ns"
"Aldh1l1","Excitatory neurons",1786,2414,0.0112012490732177,0.0200668808834676,0.0936031080904565,0.136001944874856,0.0022148766385929,0.00276806628775066,0.00886563181024987,2179903.5,0.0145286958996042,0.0633979457437276,"ns"
"Gja1","Excitatory neurons",1786,2414,0.00822845365970095,0.0134713881197449,0.0772365219859956,0.12419246567033,0.00182760350252077,0.00252770633339838,0.00524293446004395,2167865,0.137036611754888,0.345442261773032,"ns"
"Clu","Excitatory neurons",1786,2414,0.0494237793220065,0.0540892516886123,0.183279097674121,0.199000809109783,0.00433682812528515,0.00405029083546388,0.0046654723666058,2163611,0.659479993892465,0.791375992670959,"ns"
"Ptprc","Excitatory neurons",1786,2414,0.0102531693801977,0.00573822870442747,0.100717559013822,0.0640749289477734,0.00238322180862028,0.00130412584079995,-0.00451494067577019,2148710,0.307515009330981,0.461272513996472,"ns"
"Cd68","Excitatory neurons",1786,2414,0.00726175217506872,0.00294868018223168,0.0858407102680691,0.0455720678372323,0.00203119947287683,0.000927534564004977,-0.00431307199283704,2147387.5,0.115208440474326,0.325294420162804,"ns"
"Fos","Excitatory neurons",1786,2414,0.0338316288955614,0.0296790078764756,0.168275287257951,0.156275638922978,0.00398180156838346,0.00318069957085859,-0.00415262101908582,2144817,0.419655153054701,0.562040089446246,"ns"
"Bax","Excitatory neurons",1786,2414,0.088785592420743,0.0846534792920933,0.245428597703107,0.238547674332214,0.00580743608395895,0.00485519362203181,-0.00413211312864961,2141819,0.533627242438166,0.692273179379242,"ns"
"S100b","Excitatory neurons",1786,2414,0.0141871166395324,0.0101009759313073,0.0990702883545284,0.080683905665488,0.00234424338819022,0.00164217062809064,-0.00408614070822502,2145118.5,0.249943033137019,0.41369881346817,"ns"
"Atf3","Excitatory neurons",1786,2414,0.00324039266062403,0.000709553751122352,0.0650545189314439,0.0208629598585729,0.00153934775410354,0.000424626691187028,-0.00253083890950168,2151137,0.142397873999923,0.345442261773032,"ns"
"Trem2","Excitatory neurons",1786,2414,0.00160199239891007,0.00406221696888708,0.0336954518215457,0.056230565451683,0.000797316142475224,0.00114446843176532,0.00246022456997701,2162185,0.151130989525702,0.345442261773032,"ns"
"Cx3cr1","Excitatory neurons",1786,2414,0.0234317640317894,0.0209743560379683,0.139565510100597,0.131695502920826,0.00330245858477676,0.00268041668241542,-0.00245740799382111,2142767,0.259900071829011,0.414281319025243,"ns"
"Itgam","Excitatory neurons",1786,2414,0.00389445113084092,0.00168531952977984,0.0532171788118591,0.0325973971762003,0.00125924756695366,0.000663459307695095,-0.00220913160106108,2148670.5,0.109712141955849,0.325294420162804,"ns"
"Ptgs2","Excitatory neurons",1786,2414,0.0147495126403538,0.0168905544214029,0.104777310427644,0.120148335165991,0.00247928537689708,0.00244539558907317,0.00214104178104905,2156409,0.942205120181453,0.959014084473995,"ns"
"Vim","Excitatory neurons",1786,2414,0.00366728668674711,0.00163203560699297,0.0530964655896272,0.0334850065907739,0.00125639119923954,0.000681524944178691,-0.00203525107975414,2150190,0.169753757828475,0.370371835262127,"ns"
"Syp","Excitatory neurons",1786,2414,0.432899939016207,0.430898776674054,0.49457305076553,0.491557906608798,0.0117027983211797,0.0100047456748735,-0.00200116234215303,2151486.5,0.907618093671006,0.947079749917572,"ns"
"Casp1","Excitatory neurons",1786,2414,0.00081288473384338,0.00279581011426066,0.0248193991163443,0.0471766330487971,0.000587287200266687,0.000960192500424319,0.00198292538041728,2161326,0.102024979172285,0.325294420162804,"ns"
"Casp3","Excitatory neurons",1786,2414,0.0253686631770108,0.0269437343136934,0.148247142812143,0.142329599310569,0.00350788707823089,0.0028968539086935,0.0015750711366826,2160795,0.696947989755415,0.81593910995756,"ns"
"Sox9","Excitatory neurons",1786,2414,0.00530197793938596,0.00676782992024057,0.0559851364588124,0.0670250347710945,0.00132474416053821,0.00136416975033629,0.00146585198085461,2159323.5,0.597148146588225,0.754292395690389,"ns"
"Gfap","Excitatory neurons",1786,2414,0.00338903378570065,0.00201113849308403,0.0781387963674396,0.0511831359026521,0.00184895350349649,0.00104173740400447,-0.00137789529261662,2152926,0.419656576847017,0.562040089446246,"ns"
"Serping1","Excitatory neurons",1786,2414,0.00351061394030228,0.00230034337964064,0.0562872361921506,0.0440886168500941,0.0013318925731876,0.000897341682051664,-0.00121027056066164,2151105.5,0.267556685203803,0.414281319025243,"ns"
"Ifit3","Excitatory neurons",1786,2414,0.00168249903825067,0.000505834202361882,0.039740218132997,0.0180532548082341,0.000940349979300906,0.000367440377891861,-0.00117666483588879,2152659,0.231263554952425,0.41369881346817,"ns"
"Tgfb1","Excitatory neurons",1786,2414,0.000904576675127082,0.00205682811135211,0.0229204257452159,0.0392287602435169,0.000542352882989982,0.000798428352184601,0.00115225143622503,2158338.5,0.421530067084684,0.562040089446246,"ns"
